crag_number,crag_name,description,route_count,best_period,busy_level,exposure,shade,elevation_m,crag_url
11,Grande,"11Grande CuckooA small crag, but with some good mid-grade climbing onRoutes:11Best period:November – MarchBusy:••",11,,2,,,,http://climbinleonidio.com/view/?crag=Grande-Cuckoo
12,H.A.D.A.A tough crag on a natu,"12H.A.D.A.A tough crag on a natural terrace in a shady gorge. Naturally polished rock and tricky, hard-for-the grade routes.Routes:58Best period:Year-roundBusy:•••",58,,3,,,,http://climbinleonidio.com/view/?crag=H-A-D-A-
13,Bella,"13Bella VistaWell-bolted mid-grade routes, good for a sunny winter day.Routes:40Best period:October – AprilBusy:••",40,,2,,,,http://climbinleonidio.com/view/?crag=Bella-Vista
14,Montanejos,14Montanejos Climbing GardenGood rock and worthwhile mid-grade routes close to town and the road. Ideal for a short session on cold or cloudy days.Routes:21Best period:November – MarchBusy:••,21,,2,,,,http://climbinleonidio.com/view/?crag=Montanejos-Climbing-Garden
15,LoupasA massive wall very clos,"15LoupasA massive wall very close to town with well-bolted technical face climbs. Routes are new, though, and need traffic to improve.Routes:48Best period:September – MayBusy:•",48,,1,,,,http://climbinleonidio.com/view/?crag=Loupas
16,AresosA small crag with sweepoing views of,16AresosA small crag with sweepoing views of Leonidio and the valley.Routes:22Best period:Year-roundBusy:••••,22,,4,,,,http://climbinleonidio.com/view/?crag=Aresos
17,PountaA remote crag with great,"17PountaA remote crag with great views, good rock quality, and old-school climbing style. A long path, though, and not very good bolting.Routes:18Best period:October – AprilBusy:•",18,,1,,,,http://climbinleonidio.com/view/?crag=Pounta
18,Twin cavesBig variety in route,"18Twin cavesBig variety in routes, grades, and styles, plus a short approach. Easier slabs on the left, insane tufas in the caves. A local classic.Routes:46Best period:November – MarchBusy:••••",46,,4,,,,http://climbinleonidio.com/view/?crag=Twin-caves
19,Crash of the,"19Crash of the TitansA small roofy cave further to the right of Twin Caves. Short routes in the cave, slightly longer mid-grade routes on the sides.Routes:29Best period:November – MarchBusy:••",29,,2,,,,http://climbinleonidio.com/view/?crag=Crash-of-the-Titans
20,BalconyA marble-like wall with,20BalconyA marble-like wall with hard routes above a narrow natural terrace. Great views to the sea.Routes:19Best period:November – MarchBusy:••,19,,2,,,,http://climbinleonidio.com/view/?crag=Balcony
21,Yellow,"21Yellow EyesA new well-bolted crag on the south face, high above Dafnon Valley. Solid, steep wall and grey slab climbs.Routes:46Best period:October – AprilBusy:•••",46,,3,,,,http://climbinleonidio.com/view/?crag=Yellow-Eyes
22,TheatroSteep tufa climbing at,22TheatroSteep tufa climbing at an isolated crag above a narrow ledge. Tricky access from the top. For very experienced climbers only.Routes:39Best period:October – AprilBusy:•••,39,,3,,,,http://climbinleonidio.com/view/?crag=Theatro
23,Hot,23Hot RockFeatured vertical grey and red rock with well-equipped mid-grade routes on the left of the big red cliff face above Leonidio.Routes:21Best period:November – MarchBusy:••••,21,,4,,,,http://climbinleonidio.com/view/?crag=Hot-Rock
24,ÓramaA massive wall at the foot of,"24ÓramaA massive wall at the foot of Kokkinóvrachos, the red cliff, with long, well-bolted mid-grade routes.Routes:42Best period:November – MarchBusy:•••",42,,3,,,,http://climbinleonidio.com/view/?crag=Órama
25,RocspotA small classic sector,25RocspotA small classic sector on quality brown limestone overlooking Leonidio. Well-protected mid-grade routes up to 40m.Routes:16Best period:November – MarchBusy:•••,16,,3,,,,http://climbinleonidio.com/view/?crag=Rocspot
26,DouvariGrey and brown slabs an,26DouvariGrey and brown slabs and wall with friendly bolting and stunning views. Perhaps the best crag for easy and mid-grade climbing.Routes:42Best period:November – MarchBusy:••••,42,,4,,,,http://climbinleonidio.com/view/?crag=Douvari
27,Kokkinóvrachos,"27Kokkinóvrachos Multi-PitchesQuality multi-pitches on the massive cliff above town, mainly on the right side. Most are fully bolted and equipped for abseiling.Routes:20Best period:November – MarchBusy:•••",20,,3,,,,http://climbinleonidio.com/view/?crag=Kokkinóvrachos-Multi-Pitches
28,"MegakanteA small, very expo bu","28MegakanteA small, very expo but photogenic crag on a mega ridge high above town. Tricky approach. For very experienced climbers only.Routes:5Best period:November – MarchBusy:••",5,,2,,,,http://climbinleonidio.com/view/?crag=Megakante
29,HospitalEasy and mid-grade sin,"29HospitalEasy and mid-grade single pitches with friendly bolting, plus good fully bolted long multi-pitches, within walking distance of town.Routes:53Best period:November – MarchBusy:•••",53,,3,,,,http://climbinleonidio.com/view/?crag=Hospital
30,OlymposHigh above,"30OlymposHigh above Leonidio, red cliffs over a series of terraces. Good variety, but mostly steep climbing on overhangs and some tufas.Routes:40Best period:October – AprilBusy:•••",40,,3,"S, SEShade: After 15:00Routes01    M’gnesio liquido7a15m02    Fava7c12m03    Little tent8a+?12m04    Laconic answer7c+12m05    Drakonian measures8a12m06    Damokles sword8a+12m07    Hephaistos vs blanka7c+15m08    Hephaistos hammer7c+15m09    Christel wave6b12m
















This was co-financed under the local approach LEADER of the RDP 2007-2013 by the European Union (EAFRD) and the Greek State.


In co-operation with



Sponsors
























© 2026 climbinleonidio.com


  info@climbinleonidio.com

  @climbinleonidio.official","After 15:00Routes01    M’gnesio liquido7a15m02    Fava7c12m03    Little tent8a+?12m04    Laconic answer7c+12m05    Drakonian measures8a12m06    Damokles sword8a+12m07    Hephaistos vs blanka7c+15m08    Hephaistos hammer7c+15m09    Christel wave6b12m
















This was co-financed under the local approach LEADER of the RDP 2007-2013 by the European Union (EAFRD) and the Greek State.


In co-operation with



Sponsors
























© 2026 climbinleonidio.com


  info@climbinleonidio.com

  @climbinleonidio.official",,http://climbinleonidio.com/view/?crag=Olympos
31,MarsA dreamy red tufa crag!,"31MarsA dreamy red tufa crag! On the way, sub-sectors Namaste and Venus have mostly vertical routes (and less people).Routes:65Best period:Year-roundBusy:••••",65,,4,,,,http://climbinleonidio.com/view/?crag=Mars
32,JupiterQuality climbing and co,32JupiterQuality climbing and cool conditions on a very long wall full of pockets. Located on the back side of the Kokkinóvrachos face.Routes:56Best period:Year-roundBusy:••••,56,,4,,,,http://climbinleonidio.com/view/?crag=Jupiter
33,King of,33King of ThronesSteep tufa routes and some sharp grey rock at the main sector. Sub-sector Dornröschen: a grey slab with easier and mid-grades.Routes:44Best period:October – AprilBusy:•••,44,,3,,,,http://climbinleonidio.com/view/?crag=King-of-Thrones
34,PanagiaFour sub-sectors (Panagia,"34PanagiaFour sub-sectors (Panagia Cave, Mad Wall, Piccolo Muro, Yellow
Wall), each with its own character and well-bolted routes.Routes:73Best period:November – MarchBusy:•••",73,,3,"SShade: A bit of shade in the early morning.Routes01    Philos mavros6a25m02    Ziggy stardust6a25m03    Sim5c+25m04    Max6a25m05    Pathfinder5c25m06    Daniela5b25m07    Joni5c25m08    Kim5b25m09    Twin flame5b25mYellow WallExposure: SShade: NeverRoutes01    Yellow submarine6c40m02    Lazari7a40m03    Old green 7a30m04    Markaris6c32m05    Matarrana ports6c+32m06    Kokoletta7a+32m07    Manoleas tavern7b+30m08    Karl Marx7a15m09    Hispano suiza7b+22m10    Sweet Carolina7b22m
















This was co-financed under the local approach LEADER of the RDP 2007-2013 by the European Union (EAFRD) and the Greek State.


In co-operation with



Sponsors
























© 2026 climbinleonidio.com


  info@climbinleonidio.com

  @climbinleonidio.official","A bit of shade in the early morning.Routes01    Philos mavros6a25m02    Ziggy stardust6a25m03    Sim5c+25m04    Max6a25m05    Pathfinder5c25m06    Daniela5b25m07    Joni5c25m08    Kim5b25m09    Twin flame5b25mYellow WallExposure: SShade: NeverRoutes01    Yellow submarine6c40m02    Lazari7a40m03    Old green 7a30m04    Markaris6c32m05    Matarrana ports6c+32m06    Kokoletta7a+32m07    Manoleas tavern7b+30m08    Karl Marx7a15m09    Hispano suiza7b+22m10    Sweet Carolina7b22m
















This was co-financed under the local approach LEADER of the RDP 2007-2013 by the European Union (EAFRD) and the Greek State.


In co-operation with



Sponsors
























© 2026 climbinleonidio.com


  info@climbinleonidio.com

  @climbinleonidio.official",,http://climbinleonidio.com/view/?crag=Panagia
35,TheósThe climbing at,"35TheósThe climbing at Theós Pillar is technical and fingery,
on a wall with vertical cracks and the occasional tufa
blob.Routes:99Best period:November – MarchBusy:••••",99,,4,,,,http://climbinleonidio.com/view/?crag=Theós
36,MitiA small crag near the sea.,36MitiA small crag near the sea. Long routes on a vertical red wall with a marble feel.Routes:13Best period:November – MarchBusy:•••,13,,3,,,,http://climbinleonidio.com/view/?crag=Miti
37,SabatonAnother popular sector,"37SabatonAnother popular sector near the sea with short access, pocketed limestone, pleasant mid-grade routes, and lots of shade.Routes:106Best period:Year-roundBusy:••••",106,,4,,,,http://climbinleonidio.com/view/?crag=Sabaton
38,Saint,"38Saint Nicholas SintzaIn a ravine SW of Leonidio, four sub-sectors with styles varying
from pocketed vertical to short and athletic to steep multi-pitches.Routes:50Best period:Year-roundBusy:•••",50,,3,,"After 15:00Routes01    The experiment of toricceli7c12002    Madama butterfly7c+12503    Fuori di zucca7c+/8a135
















This was co-financed under the local approach LEADER of the RDP 2007-2013 by the European Union (EAFRD) and the Greek State.


In co-operation with



Sponsors
























© 2026 climbinleonidio.com


  info@climbinleonidio.com

  @climbinleonidio.official",,http://climbinleonidio.com/view/?crag=Saint-Nicholas-Sintza
